Temps,EMG1,EMG2,EMG3
700.928,-0.32,-0.12,1.24
701.048,-0.27,-0.33,1.1
701.108,-0.27,-0.39,1.23
701.23,-0.19,-0.27,1.2
701.348,-0.16,-0.29,0.82
701.408,-0.14,-0.4,0.86
701.53,-0.19,-0.22,0.83
701.649,-0.12,-0.38,0.79
701.708,-0.24,-0.3,0.68
701.828,-0.15,-0.38,0.67
701.949,-0.25,-0.29,0.69
702.008,-0.19,-0.35,0.71
702.129,-0.08,-0.23,0.8
702.248,-0.13,-0.32,0.82
702.308,-0.06,-0.15,0.83
702.429,-0.21,-0.39,0.82
702.548,-0.09,-0.41,0.68
702.608,-0.17,-0.24,0.85
702.73,-0.14,-0.32,0.7
702.85,-0.24,-0.13,0.68
702.967,-0.12,-0.36,0.73
703.03,-0.21,-0.12,0.82
703.149,-0.25,-0.12,0.86
703.21,-0.2,-0.19,0.8
703.329,-0.11,-0.24,0.82
703.449,-0.29,-0.11,0.68
703.51,-0.22,-0.18,0.84
703.629,-0.12,-0.21,0.82
703.749,-0.17,-0.27,0.77
703.809,-0.33,-0.23,0.7
703.929,-0.36,-0.08,0.7
704.049,-0.25,-0.24,0.7
704.11,-0.15,-0.19,0.86
704.229,-0.22,-0.23,0.68
704.35,-0.36,-0.23,0.78
704.413,-0.36,-0.24,0.77
704.529,-0.37,-0.11,0.82
704.649,-0.13,-0.23,0.84
704.711,-0.14,-0.23,0.81
704.829,-0.34,-0.09,0.72
704.948,-0.12,-0.11,0.86
705.013,-0.32,-0.22,0.78
705.129,-0.17,-0.16,0.86
705.25,-0.14,-0.27,0.82
705.31,-0.19,-0.39,1.12
705.43,-0.2,-0.12,1.27
705.549,-0.06,-0.13,1.22
705.61,-0.2,-0.41,1.23
705.729,-0.07,-0.31,1.3
705.85,-0.2,-0.32,1.17
705.91,-0.06,-0.2,1.21
706.03,-0.22,-0.38,1.29
706.149,-0.11,-0.13,1.26
706.21,-0.17,-0.23,1.22
706.329,-0.06,-0.21,1.01
706.448,-0.15,-0.25,1.11
706.508,-0.17,-0.32,1.27
706.63,-0.19,-0.12,1.17
706.749,-0.19,-0.23,1.04
706.808,-0.08,-0.32,1.13
706.929,-0.15,-0.32,1.26
707.05,-0.07,-0.13,1.13
707.109,-0.23,-0.31,1.14
707.229,-0.21,-0.18,1.07
707.35,-0.12,-0.11,0.73
707.409,-0.13,-0.24,0.67
707.528,-0.18,-0.14,0.79
707.648,-0.1,-0.41,0.84
707.709,-0.37,-0.17,0.76
707.828,-0.34,-0.14,0.73
707.948,-0.08,-0.15,0.82
708.009,-0.37,-0.28,0.73
708.129,-0.28,-0.34,0.8
708.248,-0.22,-0.15,0.68
708.308,-0.19,-0.11,0.86
708.428,-0.15,-0.19,0.8
708.548,-0.3,-0.09,0.8
708.61,-0.36,-0.19,0.79
708.728,-0.3,-0.16,0.71
708.848,-0.38,-0.18,0.85
708.91,-0.23,-0.12,0.78
709.028,-0.2,-0.14,0.67
709.148,-0.23,-0.2,0.87
709.21,-0.1,-0.16,0.7
709.328,-0.12,-0.21,0.77
709.449,-0.08,-0.22,0.7
709.51,-0.21,-0.13,0.73
709.63,-0.15,-0.24,0.81
709.749,-0.08,-0.22,0.83
709.809,-0.23,-0.25,0.83
709.93,-0.13,-0.13,0.77
710.05,-0.23,-0.25,0.84
710.109,-0.22,-0.15,0.82
710.229,-0.16,-0.24,0.73
710.405,-0.06,-0.4,0.76
710.409,-0.07,-0.4,0.7
710.529,-0.23,-0.32,0.72
710.649,-0.17,-0.19,0.85
710.709,-0.24,-0.21,0.77
710.831,-0.16,-0.34,0.68
710.949,-0.12,-0.34,0.73
711.009,-0.14,-0.33,0.76
711.13,-0.21,-0.37,0.83
711.25,-0.17,-0.22,0.81
711.31,-0.29,-0.3,1.14
711.43,-0.12,-0.23,1.03
711.55,-0.33,-0.17,1.17
711.667,-0.13,-0.35,1.16
711.73,-0.14,-0.2,1.22
TOTAL_RMS,,,
RMS Finals,,0.46,0.66,0.83,,RMS_TOT: 0.67
