Temps,EMG1,EMG2,EMG3
521.885,0.06,0.54,-0.4
522.005,0.12,0.46,-0.56
522.065,0.09,0.53,-0.5
522.185,-0.02,0.47,-0.53
522.306,0.15,0.53,-0.48
522.366,0.11,0.55,-0.56
522.544,0.05,0.38,-0.49
522.606,0.08,0.43,-0.46
522.723,0.05,0.54,-0.48
522.787,0.16,0.44,-0.43
522.905,0.01,0.52,-0.49
522.966,-0.01,0.54,-0.46
523.089,0.14,0.47,-0.41
523.205,0.01,0.55,-0.42
523.265,0.05,0.49,-0.53
523.385,0.25,0.74,-0.39
523.504,0.19,0.86,-0.52
523.565,0.06,0.77,-0.52
523.691,0.19,0.73,-0.4
523.806,0.22,0.63,-0.45
523.864,0.1,0.87,-0.57
523.984,0.09,0.74,-0.48
524.104,0.04,0.75,-0.51
524.222,0.13,0.65,-0.45
524.343,-0.02,0.81,-0.43
524.407,0.08,0.73,-0.49
524.465,0.21,0.59,-0.48
524.587,0.11,0.83,-0.41
524.706,0.15,0.59,-0.46
524.765,0.06,0.77,-0.58
524.887,0.13,0.86,-0.48
525.006,0.21,0.63,-0.57
525.065,0.27,0.75,-0.41
525.186,0.14,0.58,-0.46
525.306,0.26,0.6,-0.48
525.365,0.05,0.82,-0.81
525.487,0.17,0.63,-0.75
525.664,0.14,0.8,-0.75
525.681,0.06,0.69,-0.76
525.785,0.04,0.63,-0.67
525.905,0.12,0.84,-0.8
525.965,0.14,0.63,-0.73
526.087,0.06,0.77,-0.75
526.207,0.17,0.82,-0.58
526.266,0.06,0.7,-0.66
526.385,0.03,0.45,-0.82
526.506,0.01,0.47,-0.75
526.625,0.06,0.43,-0.64
526.685,0.09,0.43,-0.64
526.806,0.1,0.55,-0.67
526.866,0.08,0.45,-0.78
526.987,0.12,0.55,-0.75
527.105,0.05,0.48,-0.7
527.165,0.02,0.46,-0.69
527.285,0.02,0.43,-0.71
527.405,0.02,0.55,-0.48
527.522,0.03,0.47,-0.58
527.585,-0.02,0.42,-0.57
527.704,0.26,0.46,-0.53
527.765,0.05,0.38,-0.5
527.886,0.15,0.56,-0.41
528.006,0.25,0.39,-0.49
528.122,0.07,0.5,-0.56
528.186,0.19,0.48,-0.41
528.306,0.09,0.43,-0.4
528.426,0.05,0.81,-0.49
528.485,0.03,0.65,-0.47
528.605,0.17,0.85,-0.4
528.665,0.01,0.59,-0.49
528.786,0.09,0.74,-0.43
528.963,0.25,0.8,-0.55
528.981,0.17,0.65,-0.57
529.087,0.02,0.64,-0.41
529.206,0.02,0.61,-0.51
529.266,0.01,0.84,-0.45
529.385,0.11,0.71,-0.38
529.564,0.05,0.62,-0.57
529.569,0.06,0.87,-0.5
529.742,0.03,0.77,-0.55
529.862,0.08,0.59,-0.5
529.922,0.12,0.57,-0.46
529.985,0.12,0.61,-0.49
530.105,0.16,0.58,-0.43
530.165,0.1,0.68,-0.44
530.287,0.16,0.71,-0.44
530.464,0.1,0.59,-0.48
530.473,0.13,0.85,-0.47
530.585,0.05,0.58,-0.39
530.704,0.06,0.73,-0.48
530.767,0.17,0.86,-0.43
530.886,0.18,0.78,-0.49
531.064,0.1,0.63,-0.39
531.126,0.16,0.73,-0.46
531.185,0.16,0.62,-0.45
531.306,0.16,0.61,-0.54
531.365,-0.01,0.4,-0.63
531.486,0.11,0.49,-0.73
531.605,0.08,0.52,-0.7
531.665,0.23,0.47,-0.68
531.785,0.16,0.53,-0.63
531.905,0.24,0.4,-0.84
531.965,0.25,0.48,-0.66
532.088,0.26,0.5,-0.71
532.206,0.07,0.45,-0.86
532.265,0.22,0.52,-0.66
532.386,0.14,0.42,-0.8
532.505,0.25,0.54,-0.74
532.565,0.02,0.55,-0.58
532.686,0.08,0.56,-0.75
532.865,0.16,0.46,-0.76
532.872,0.14,0.48,-0.64
532.985,-0.01,0.55,-0.77
533.106,0.25,0.54,-0.78
533.167,0.01,0.47,-0.79
533.285,0.06,0.44,-0.62
533.406,0.17,0.59,-0.53
533.466,0.07,0.58,-0.43
533.648,0.1,0.7,-0.49
533.705,0.14,0.65,-0.43
533.767,0.02,0.74,-0.45
533.885,0,0.84,-0.54
534.006,0.15,0.7,-0.56
534.065,0.16,0.86,-0.42
534.186,0.07,0.75,-0.5
534.364,0.06,0.66,-0.53
534.376,0.02,0.66,-0.55
534.486,0.09,0.85,-0.39
534.606,-0.02,0.57,-0.52
534.666,0,0.58,-0.51
534.786,0.01,0.83,-0.47
534.904,0.07,0.84,-0.39
534.964,0.06,0.65,-0.39
535.084,0.03,0.79,-0.48
535.204,0.13,0.69,-0.45
535.264,0.06,0.75,-0.4
535.385,0.04,0.78,-0.51
535.564,0.05,0.75,-0.57
535.622,0.06,0.81,-0.41
535.686,0.11,0.72,-0.43
535.808,0.15,0.81,-0.48
535.865,0.17,0.76,-0.4
536.044,0,0.77,-0.39
536.164,0.1,0.67,-0.47
536.225,0.16,0.83,-0.53
536.286,0.13,0.84,-0.53
536.405,0.2,0.53,-0.48
536.522,-0.02,0.45,-0.58
536.585,0.07,0.5,-0.57
536.704,0.24,0.56,-0.41
536.765,0.23,0.46,-0.57
536.887,0.17,0.54,-0.51
537.005,0.1,0.45,-0.42
537.065,0.19,0.43,-0.43
537.186,0.23,0.44,-0.57
537.306,0.24,0.41,-0.48
537.364,0.04,0.56,-0.65
537.485,0.07,0.55,-0.71
537.605,-0.02,0.53,-0.68
537.665,0.01,0.47,-0.71
537.784,0.12,0.41,-0.58
537.905,-0.01,0.53,-0.83
538.083,0.01,0.38,-0.69
538.089,0.08,0.55,-0.58
538.205,0.1,0.51,-0.67
538.265,-0.02,0.43,-0.8
538.446,0.12,0.67,-0.8
538.505,0.06,0.68,-0.83
538.565,-0.02,0.79,-0.62
538.685,0.07,0.78,-0.72
538.804,0.08,0.84,-0.83
538.865,0.07,0.8,-0.82
538.986,0.14,0.66,-0.85
539.105,0.1,0.62,-0.64
539.166,0.01,0.77,-0.7
539.343,-0.01,0.82,-0.71
539.463,0.09,0.87,-0.55
539.48,0.16,0.83,-0.41
539.585,0.21,0.6,-0.43
539.705,0.17,0.83,-0.45
539.765,0.2,0.75,-0.4
539.886,0.03,0.7,-0.56
540.006,0.04,0.82,-0.48
540.066,0.04,0.71,-0.4
540.185,0.08,0.86,-0.54
540.305,0.12,0.61,-0.56
540.365,0.2,0.67,-0.52
540.484,0.23,0.69,-0.45
540.664,0.14,0.8,-0.43
540.668,0.08,0.68,-0.56
540.785,0.14,0.77,-0.53
540.906,0.13,0.57,-0.48
541.024,0.16,0.75,-0.45
541.086,0.24,0.82,-0.44
541.206,0.2,0.76,-0.45
541.266,0.2,0.83,-0.48
541.444,0,0.4,-0.41
541.505,0.08,0.39,-0.55
541.566,-0.01,0.47,-0.56
541.686,0.05,0.43,-0.56
541.805,0.12,0.56,-0.39
541.866,0.08,0.51,-0.44
541.986,0.12,0.51,-0.45
542.106,0.06,0.56,-0.5
542.223,0.16,0.54,-0.51
542.286,0.01,0.58,-0.52
542.406,0.07,0.56,-0.47
542.465,0.1,0.55,-0.57
542.584,0.11,0.43,-0.56
542.704,0,0.46,-0.49
542.765,0.09,0.46,-0.45
542.884,0.18,0.46,-0.49
543.005,0.12,0.48,-0.46
